"특성별(1)","특성별(2)","경험및변화별(1)",경험및변화별(2),품목군별(1),2022,2023,2024
"전체","소계","구입 변화",약간 감소 (%),죽/스프류,21.0,30.1,23.6
"전체","소계","구입 변화",약간 감소 (%),만두/피자류,12.0,14.9,12.1
"전체","소계","구입 변화",약간 감소 (%),육류,17.9,25.7,20.8
"전체","소계","구입 변화",약간 감소 (%),수산물,23.0,27.0,19.6
"전체","소계","구입 변화",약간 감소 (%),소스/양념류,19.2,25.4,21.4
"전체","소계","구입 변화",약간 감소 (%),즉석 떡볶이/면류,16.4,17.7,20.1
"전체","소계","구입 변화",비슷 (%),즉석 밥류,60.5,59.7,59.1
"전체","소계","구입 변화",비슷 (%),즉석 국류/찌개/탕류,53.2,47.7,44.3
"전체","소계","구입 변화",비슷 (%),죽/스프류,53.0,44.2,51.2
"전체","소계","구입 변화",비슷 (%),만두/피자류,52.4,54.1,54.0
"전체","소계","구입 변화",비슷 (%),육류,56.9,48.2,50.3
"전체","소계","구입 변화",비슷 (%),수산물,52.4,43.6,51.7
"전체","소계","구입 변화",비슷 (%),소스/양념류,58.3,50.8,55.5
"전체","소계","구입 변화",비슷 (%),즉석 떡볶이/면류,58.9,55.2,54.2
"전체","소계","구입 변화",약간 증가 (%),즉석 밥류,27.3,20.6,22.4
"전체","소계","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,28.6,21.1,25.9
"전체","소계","구입 변화",약간 증가 (%),죽/스프류,14.4,9.5,10.6
"전체","소계","구입 변화",약간 증가 (%),만두/피자류,30.3,25.4,28.5
"전체","소계","구입 변화",약간 증가 (%),육류,15.7,11.5,14.3
"전체","소계","구입 변화",약간 증가 (%),수산물,13.2,15.2,14.7
"전체","소계","구입 변화",약간 증가 (%),소스/양념류,15.6,11.7,13.2
"전체","소계","구입 변화",약간 증가 (%),즉석 떡볶이/면류,17.1,20.6,17.6
"전체","소계","구입 변화",매우 증가 (%),즉석 밥류,1.1,0.2,1.4
"전체","소계","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,1.7,0.2,4.4
"전체","소계","구입 변화",매우 증가 (%),죽/스프류,0.4,0.0,0.4
"전체","소계","구입 변화",매우 증가 (%),만두/피자류,1.6,1.4,2.5
"전체","소계","구입 변화",매우 증가 (%),육류,0.9,0.6,3.2
"전체","소계","구입 변화",매우 증가 (%),수산물,1.2,0.3,1.4
"전체","소계","구입 변화",매우 증가 (%),소스/양념류,0.7,0.2,1.8
"전체","소계","구입 변화",매우 증가 (%),즉석 떡볶이/면류,1.4,0.7,1.2
"전체","소계","구입 변화",평균 (점),즉석 밥류,3.15,2.97,3.04
"전체","소계","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.12,2.83,3.02
"전체","소계","구입 변화",평균 (점),죽/스프류,2.72,2.47,2.60
"전체","소계","구입 변화",평균 (점),만두/피자류,3.14,3.05,3.16
"전체","소계","구입 변화",평균 (점),육류,2.82,2.59,2.77
"전체","소계","구입 변화",평균 (점),수산물,2.72,2.61,2.73
"전체","소계","구입 변화",평균 (점),소스/양념류,2.85,2.63,2.79
"전체","소계","구입 변화",평균 (점),즉석 떡볶이/면류,2.91,2.93,2.86
"거주지역","수도권","구입 경험 (%)",구입 없음,즉석 밥류,7.2,12.4,4.4
"거주지역","수도권","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,8.5,20.2,7.4
"거주지역","수도권","구입 경험 (%)",구입 없음,죽/스프류,28.7,43.6,26.5
"거주지역","수도권","구입 경험 (%)",구입 없음,만두/피자류,4.2,14.1,3.8
"거주지역","수도권","구입 경험 (%)",구입 없음,육류,16.2,33.1,18.3
"거주지역","수도권","구입 경험 (%)",구입 없음,수산물,33.3,32.9,22.9
"거주지역","수도권","구입 경험 (%)",구입 없음,소스/양념류,10.6,25.7,6.5
"거주지역","수도권","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,11.9,18.6,9.0
"거주지역","수도권","구입 경험 (%)",구입 있음,즉석 밥류,92.8,87.6,95.6
"거주지역","수도권","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,91.5,79.8,92.6
"거주지역","수도권","구입 경험 (%)",구입 있음,죽/스프류,71.3,56.4,73.5
"거주지역","수도권","구입 경험 (%)",구입 있음,만두/피자류,95.8,85.9,96.2
"거주지역","수도권","구입 경험 (%)",구입 있음,육류,83.8,66.9,81.7
"거주지역","수도권","구입 경험 (%)",구입 있음,수산물,66.7,67.1,77.1
"거주지역","수도권","구입 경험 (%)",구입 있음,소스/양념류,89.4,74.3,93.5
"거주지역","수도권","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,88.1,81.4,91.0
"거주지역","수도권","구입 변화",매우 감소 (%),즉석 밥류,3.8,2.6,3.0
"거주지역","수도권","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,2.5,7.9,7.1
"거주지역","수도권","구입 변화",매우 감소 (%),죽/스프류,13.6,18.6,14.6
"거주지역","수도권","구입 변화",매우 감소 (%),만두/피자류,3.8,4.2,1.8
"거주지역","수도권","구입 변화",매우 감소 (%),육류,9.9,12.1,10.4
"거주지역","수도권","구입 변화",매우 감소 (%),수산물,12.1,11.3,10.7
"거주지역","수도권","구입 변화",매우 감소 (%),소스/양념류,6.0,13.5,6.5
"거주지역","수도권","구입 변화",매우 감소 (%),즉석 떡볶이/면류,7.3,5.6,6.8
"거주지역","수도권","구입 변화",약간 감소 (%),즉석 밥류,5.2,17.3,10.8
"거주지역","수도권","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,9.9,24.3,18.0
"거주지역","수도권","구입 변화",약간 감소 (%),죽/스프류,19.7,33.7,21.4
"거주지역","수도권","구입 변화",약간 감소 (%),만두/피자류,12.9,16.8,10.8
"거주지역","수도권","구입 변화",약간 감소 (%),육류,18.0,29.0,22.4
"거주지역","수도권","구입 변화",약간 감소 (%),수산물,23.1,28.5,17.7
"거주지역","수도권","구입 변화",약간 감소 (%),소스/양념류,21.3,29.0,21.9
"거주지역","수도권","구입 변화",약간 감소 (%),즉석 떡볶이/면류,16.2,15.7,20.3
"거주지역","수도권","구입 변화",비슷 (%),즉석 밥류,52.2,55.4,59.2
"거주지역","수도권","구입 변화",비슷 (%),즉석 국류/찌개/탕류,52.7,47.2,43.9
"거주지역","수도권","구입 변화",비슷 (%),죽/스프류,48.0,38.1,51.7
"거주지역","수도권","구입 변화",비슷 (%),만두/피자류,48.0,50.1,55.7
"거주지역","수도권","구입 변화",비슷 (%),육류,52.7,44.4,46.3
"거주지역","수도권","구입 변화",비슷 (%),수산물,47.4,41.8,51.1
"거주지역","수도권","구입 변화",비슷 (%),소스/양념류,53.0,43.3,54.1
"거주지역","수도권","구입 변화",비슷 (%),즉석 떡볶이/면류,56.5,51.4,54.6
"거주지역","수도권","구입 변화",약간 증가 (%),즉석 밥류,37.1,24.5,25.1
"거주지역","수도권","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,32.5,20.6,24.7
"거주지역","수도권","구입 변화",약간 증가 (%),죽/스프류,18.1,9.6,11.6
"거주지역","수도권","구입 변화",약간 증가 (%),만두/피자류,33.5,27.3,28.3
"거주지역","수도권","구입 변화",약간 증가 (%),육류,18.3,13.5,15.6
"거주지역","수도권","구입 변화",약간 증가 (%),수산물,15.7,17.9,18.2
"거주지역","수도권","구입 변화",약간 증가 (%),소스/양념류,18.7,13.9,14.7
"거주지역","수도권","구입 변화",약간 증가 (%),즉석 떡볶이/면류,17.3,25.9,16.2
"거주지역","수도권","구입 변화",매우 증가 (%),즉석 밥류,1.7,0.2,1.9
"거주지역","수도권","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,2.4,0.0,6.3
"거주지역","수도권","구입 변화",매우 증가 (%),죽/스프류,0.6,0.0,0.6
"거주지역","수도권","구입 변화",매우 증가 (%),만두/피자류,1.7,1.6,3.4
"거주지역","수도권","구입 변화",매우 증가 (%),육류,1.0,1.0,5.2
"거주지역","수도권","구입 변화",매우 증가 (%),수산물,1.7,0.5,2.3
"거주지역","수도권","구입 변화",매우 증가 (%),소스/양념류,1.0,0.3,2.8
"거주지역","수도권","구입 변화",매우 증가 (%),즉석 떡볶이/면류,2.6,1.3,2.1
"거주지역","수도권","구입 변화",평균 (점),즉석 밥류,3.28,3.02,3.12
"거주지역","수도권","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.22,2.80,3.05
"거주지역","수도권","구입 변화",평균 (점),죽/스프류,2.73,2.39,2.62
"거주지역","수도권","구입 변화",평균 (점),만두/피자류,3.16,3.05,3.21
"거주지역","수도권","구입 변화",평균 (점),육류,2.82,2.62,2.83
"거주지역","수도권","구입 변화",평균 (점),수산물,2.72,2.68,2.84
"거주지역","수도권","구입 변화",평균 (점),소스/양념류,2.87,2.58,2.85
"거주지역","수도권","구입 변화",평균 (점),즉석 떡볶이/면류,2.92,3.02,2.86
"거주지역","충청권","구입 경험 (%)",구입 없음,즉석 밥류,11.5,17.4,7.8
"거주지역","충청권","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,13.2,19.3,7.3
"거주지역","충청권","구입 경험 (%)",구입 없음,죽/스프류,22.9,44.1,32.7
"거주지역","충청권","구입 경험 (%)",구입 없음,만두/피자류,5.2,12.9,1.7
"거주지역","충청권","구입 경험 (%)",구입 없음,육류,26.1,34.7,13.6
"거주지역","충청권","구입 경험 (%)",구입 없음,수산물,37.7,50.3,27.5
"거주지역","충청권","구입 경험 (%)",구입 없음,소스/양념류,9.2,25.4,14.0
"거주지역","충청권","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,15.3,28.5,10.6
"거주지역","충청권","구입 경험 (%)",구입 있음,즉석 밥류,88.5,82.6,92.2
"거주지역","충청권","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,86.8,80.7,92.7
"거주지역","충청권","구입 경험 (%)",구입 있음,죽/스프류,77.1,55.9,67.3
"거주지역","충청권","구입 경험 (%)",구입 있음,만두/피자류,94.8,87.1,98.3
"거주지역","충청권","구입 경험 (%)",구입 있음,육류,73.9,65.3,86.4
"거주지역","충청권","구입 경험 (%)",구입 있음,수산물,62.3,49.7,72.5
"거주지역","충청권","구입 경험 (%)",구입 있음,소스/양념류,90.8,74.6,86.0
"거주지역","충청권","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,84.7,71.5,89.4
"거주지역","충청권","구입 변화",매우 감소 (%),즉석 밥류,2.7,4.1,6.6
"거주지역","충청권","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,3.2,4.8,5.2
"거주지역","충청권","구입 변화",매우 감소 (%),죽/스프류,5.3,22.7,21.1
"거주지역","충청권","구입 변화",매우 감소 (%),만두/피자류,1.4,2.8,2.6
"거주지역","충청권","구입 변화",매우 감소 (%),육류,4.5,17.1,14.0
"거주지역","충청권","구입 변화",매우 감소 (%),수산물,8.5,24.0,19.8
"거주지역","충청권","구입 변화",매우 감소 (%),소스/양념류,2.4,4.9,13.8
"거주지역","충청권","구입 변화",매우 감소 (%),즉석 떡볶이/면류,1.7,7.3,6.8
"거주지역","충청권","구입 변화",약간 감소 (%),즉석 밥류,4.0,18.8,19.8
"거주지역","충청권","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,10.0,28.9,18.6
"거주지역","충청권","구입 변화",약간 감소 (%),죽/스프류,14.3,33.2,31.5
"거주지역","충청권","구입 변화",약간 감소 (%),만두/피자류,6.0,10.4,13.4
"거주지역","충청권","구입 변화",약간 감소 (%),육류,20.0,26.1,24.0
"거주지역","충청권","구입 변화",약간 감소 (%),수산물,29.0,34.8,25.4
"거주지역","충청권","구입 변화",약간 감소 (%),소스/양념류,15.9,22.8,22.5
"거주지역","충청권","구입 변화",약간 감소 (%),즉석 떡볶이/면류,11.9,18.4,22.3
"거주지역","충청권","구입 변화",비슷 (%),즉석 밥류,79.8,67.0,48.8
"거주지역","충청권","구입 변화",비슷 (%),즉석 국류/찌개/탕류,63.3,49.3,32.4
"거주지역","충청권","구입 변화",비슷 (%),죽/스프류,72.6,38.1,33.7
"거주지역","충청권","구입 변화",비슷 (%),만두/피자류,61.8,60.7,45.5
"거주지역","충청권","구입 변화",비슷 (%),육류,62.6,47.9,40.5
"거주지역","충청권","구입 변화",비슷 (%),수산물,58.7,34.6,40.5
"거주지역","충청권","구입 변화",비슷 (%),소스/양념류,67.4,62.6,51.3
"거주지역","충청권","구입 변화",비슷 (%),즉석 떡볶이/면류,75.0,62.0,43.9
"거주지역","충청권","구입 변화",약간 증가 (%),즉석 밥류,12.1,10.1,24.5
"거주지역","충청권","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,21.2,17.0,41.9
"거주지역","충청권","구입 변화",약간 증가 (%),죽/스프류,6.8,6.0,13.3
"거주지역","충청권","구입 변화",약간 증가 (%),만두/피자류,27.8,25.7,35.9
"거주지역","충청권","구입 변화",약간 증가 (%),육류,12.9,9.0,21.5
"거주지역","충청권","구입 변화",약간 증가 (%),수산물,3.8,6.6,13.9
"거주지역","충청권","구입 변화",약간 증가 (%),소스/양념류,14.4,9.7,12.5
"거주지역","충청권","구입 변화",약간 증가 (%),즉석 떡볶이/면류,11.4,12.3,26.7
"거주지역","충청권","구입 변화",매우 증가 (%),즉석 밥류,1.4,0.0,0.4
"거주지역","충청권","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,2.2,0.0,1.8
"거주지역","충청권","구입 변화",매우 증가 (%),죽/스프류,0.9,0.0,0.5
"거주지역","충청권","구입 변화",매우 증가 (%),만두/피자류,3.1,0.4,2.6
"거주지역","충청권","구입 변화",매우 증가 (%),육류,0.0,0.0,0.0
"거주지역","충청권","구입 변화",매우 증가 (%),수산물,0.0,0.0,0.5
"거주지역","충청권","구입 변화",매우 증가 (%),소스/양념류,0.0,0.0,0.0
"거주지역","충청권","구입 변화",매우 증가 (%),즉석 떡볶이/면류,0.0,0.0,0.4
"거주지역","충청권","구입 변화",평균 (점),즉석 밥류,3.06,2.83,2.92
"거주지역","충청권","구입 변화",평균 (점),즉석 국류/찌개/탕류,3.09,2.79,3.17
"거주지역","충청권","구입 변화",평균 (점),죽/스프류,2.84,2.27,2.41
"거주지역","충청권","구입 변화",평균 (점),만두/피자류,3.25,3.10,3.22
"거주지역","충청권","구입 변화",평균 (점),육류,2.84,2.49,2.70
"거주지역","충청권","구입 변화",평균 (점),수산물,2.58,2.24,2.50
"거주지역","충청권","구입 변화",평균 (점),소스/양념류,2.94,2.77,2.62
"거주지역","충청권","구입 변화",평균 (점),즉석 떡볶이/면류,2.96,2.79,2.92
"거주지역","호남권","구입 경험 (%)",구입 없음,즉석 밥류,13.6,30.8,30.7
"거주지역","호남권","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,21.8,28.8,31.3
"거주지역","호남권","구입 경험 (%)",구입 없음,죽/스프류,28.0,39.5,45.1
"거주지역","호남권","구입 경험 (%)",구입 없음,만두/피자류,8.9,9.6,9.8
"거주지역","호남권","구입 경험 (%)",구입 없음,육류,25.2,29.4,29.3
"거주지역","호남권","구입 경험 (%)",구입 없음,수산물,27.1,39.0,38.7
"거주지역","호남권","구입 경험 (%)",구입 없음,소스/양념류,9.5,14.4,21.0
"거주지역","호남권","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,24.7,33.5,35.7
"거주지역","호남권","구입 경험 (%)",구입 있음,즉석 밥류,86.4,69.2,69.3
"거주지역","호남권","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,78.2,71.2,68.7
"거주지역","호남권","구입 경험 (%)",구입 있음,죽/스프류,72.0,60.5,54.9
"거주지역","호남권","구입 경험 (%)",구입 있음,만두/피자류,91.1,90.4,90.2
"거주지역","호남권","구입 경험 (%)",구입 있음,육류,74.8,70.6,70.7
"거주지역","호남권","구입 경험 (%)",구입 있음,수산물,72.9,61.0,61.3
"거주지역","호남권","구입 경험 (%)",구입 있음,소스/양념류,90.5,85.6,79.0
"거주지역","호남권","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,75.3,66.5,64.3
"거주지역","호남권","구입 변화",매우 감소 (%),즉석 밥류,6.6,10.7,6.3
"거주지역","호남권","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,8.6,7.5,7.7
"거주지역","호남권","구입 변화",매우 감소 (%),죽/스프류,9.7,15.5,13.5
"거주지역","호남권","구입 변화",매우 감소 (%),만두/피자류,4.7,8.0,8.1
"거주지역","호남권","구입 변화",매우 감소 (%),육류,9.4,14.6,11.4
"거주지역","호남권","구입 변화",매우 감소 (%),수산물,9.2,13.6,10.1
"거주지역","호남권","구입 변화",매우 감소 (%),소스/양념류,12.6,11.6,10.8
"거주지역","호남권","구입 변화",매우 감소 (%),즉석 떡볶이/면류,5.4,10.5,9.7
"거주지역","호남권","구입 변화",약간 감소 (%),즉석 밥류,13.7,15.1,16.1
"거주지역","호남권","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,19.9,29.1,18.7
"거주지역","호남권","구입 변화",약간 감소 (%),죽/스프류,29.5,25.5,20.5
"거주지역","호남권","구입 변화",약간 감소 (%),만두/피자류,22.3,16.1,16.8
"거주지역","호남권","구입 변화",약간 감소 (%),육류,15.1,26.6,23.0
"거주지역","호남권","구입 변화",약간 감소 (%),수산물,24.0,32.2,32.2
"거주지역","호남권","구입 변화",약간 감소 (%),소스/양념류,20.7,30.1,24.0
"거주지역","호남권","구입 변화",약간 감소 (%),즉석 떡볶이/면류,27.3,29.5,22.4
"거주지역","호남권","구입 변화",비슷 (%),즉석 밥류,63.9,62.4,64.7
"거주지역","호남권","구입 변화",비슷 (%),즉석 국류/찌개/탕류,40.7,37.5,49.7
"거주지역","호남권","구입 변화",비슷 (%),죽/스프류,45.9,47.2,55.0
"거주지역","호남권","구입 변화",비슷 (%),만두/피자류,45.1,59.6,51.0
"거주지역","호남권","구입 변화",비슷 (%),육류,52.3,48.2,53.9
"거주지역","호남권","구입 변화",비슷 (%),수산물,45.6,36.1,49.6
"거주지역","호남권","구입 변화",비슷 (%),소스/양념류,45.7,46.8,58.7
"거주지역","호남권","구입 변화",비슷 (%),즉석 떡볶이/면류,46.4,48.9,52.5
"거주지역","호남권","구입 변화",약간 증가 (%),즉석 밥류,15.8,11.2,12.4
"거주지역","호남권","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,29.6,25.0,23.3
"거주지역","호남권","구입 변화",약간 증가 (%),죽/스프류,14.9,11.8,11.0
"거주지역","호남권","구입 변화",약간 증가 (%),만두/피자류,26.0,15.5,23.8
"거주지역","호남권","구입 변화",약간 증가 (%),육류,20.7,10.2,11.7
"거주지역","호남권","구입 변화",약간 증가 (%),수산물,19.0,18.2,8.2
"거주지역","호남권","구입 변화",약간 증가 (%),소스/양념류,19.2,11.0,6.5
"거주지역","호남권","구입 변화",약간 증가 (%),즉석 떡볶이/면류,20.3,11.2,15.4
"거주지역","호남권","구입 변화",매우 증가 (%),즉석 밥류,0.0,0.6,0.4
"거주지역","호남권","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,1.1,1.0,0.5
"거주지역","호남권","구입 변화",매우 증가 (%),죽/스프류,0.0,0.0,0.0
"거주지역","호남권","구입 변화",매우 증가 (%),만두/피자류,2.0,0.8,0.3
"거주지역","호남권","구입 변화",매우 증가 (%),육류,2.5,0.5,0.0
"거주지역","호남권","구입 변화",매우 증가 (%),수산물,2.3,0.0,0.0
"거주지역","호남권","구입 변화",매우 증가 (%),소스/양념류,1.8,0.4,0.0
"거주지역","호남권","구입 변화",매우 증가 (%),즉석 떡볶이/면류,0.6,0.0,0.0
"거주지역","호남권","구입 변화",평균 (점),즉석 밥류,2.89,2.76,2.84
"거주지역","호남권","구입 변화",평균 (점),즉석 국류/찌개/탕류,2.95,2.83,2.90
"거주지역","호남권","구입 변화",평균 (점),죽/스프류,2.66,2.55,2.64
"거주지역","호남권","구입 변화",평균 (점),만두/피자류,2.98,2.85,2.92
"거주지역","호남권","구입 변화",평균 (점),육류,2.92,2.55,2.66
"거주지역","호남권","구입 변화",평균 (점),수산물,2.81,2.59,2.56
"거주지역","호남권","구입 변화",평균 (점),소스/양념류,2.77,2.58,2.61
"거주지역","호남권","구입 변화",평균 (점),즉석 떡볶이/면류,2.83,2.61,2.74
"거주지역","대경권","구입 경험 (%)",구입 없음,즉석 밥류,31.8,24.9,23.0
"거주지역","대경권","구입 경험 (%)",구입 없음,즉석 국류/찌개/탕류,37.0,19.6,20.0
"거주지역","대경권","구입 경험 (%)",구입 없음,죽/스프류,50.2,36.8,29.3
"거주지역","대경권","구입 경험 (%)",구입 없음,만두/피자류,1.4,8.5,15.3
"거주지역","대경권","구입 경험 (%)",구입 없음,육류,15.9,34.1,26.0
"거주지역","대경권","구입 경험 (%)",구입 없음,수산물,46.0,43.0,35.6
"거주지역","대경권","구입 경험 (%)",구입 없음,소스/양념류,22.7,20.0,22.5
"거주지역","대경권","구입 경험 (%)",구입 없음,즉석 떡볶이/면류,28.2,21.6,21.0
"거주지역","대경권","구입 경험 (%)",구입 있음,즉석 밥류,68.2,75.1,77.0
"거주지역","대경권","구입 경험 (%)",구입 있음,즉석 국류/찌개/탕류,63.0,80.4,80.0
"거주지역","대경권","구입 경험 (%)",구입 있음,죽/스프류,49.8,63.2,70.7
"거주지역","대경권","구입 경험 (%)",구입 있음,만두/피자류,98.6,91.5,84.7
"거주지역","대경권","구입 경험 (%)",구입 있음,육류,84.1,65.9,74.0
"거주지역","대경권","구입 경험 (%)",구입 있음,수산물,54.0,57.0,64.4
"거주지역","대경권","구입 경험 (%)",구입 있음,소스/양념류,77.3,80.0,77.5
"거주지역","대경권","구입 경험 (%)",구입 있음,즉석 떡볶이/면류,71.8,78.4,79.0
"거주지역","대경권","구입 변화",매우 감소 (%),즉석 밥류,3.9,3.3,4.8
"거주지역","대경권","구입 변화",매우 감소 (%),즉석 국류/찌개/탕류,4.5,7.0,5.9
"거주지역","대경권","구입 변화",매우 감소 (%),죽/스프류,13.6,5.1,11.1
"거주지역","대경권","구입 변화",매우 감소 (%),만두/피자류,1.9,3.1,1.2
"거주지역","대경권","구입 변화",매우 감소 (%),육류,3.0,11.8,7.9
"거주지역","대경권","구입 변화",매우 감소 (%),수산물,4.9,7.4,12.2
"거주지역","대경권","구입 변화",매우 감소 (%),소스/양념류,5.2,4.6,14.1
"거주지역","대경권","구입 변화",매우 감소 (%),즉석 떡볶이/면류,5.0,3.7,6.9
"거주지역","대경권","구입 변화",약간 감소 (%),즉석 밥류,5.6,10.1,13.1
"거주지역","대경권","구입 변화",약간 감소 (%),즉석 국류/찌개/탕류,13.6,21.0,20.9
"거주지역","대경권","구입 변화",약간 감소 (%),죽/스프류,21.1,21.5,23.6
"거주지역","대경권","구입 변화",약간 감소 (%),만두/피자류,4.2,8.8,11.2
"거주지역","대경권","구입 변화",약간 감소 (%),육류,12.2,12.9,18.7
"거주지역","대경권","구입 변화",약간 감소 (%),수산물,20.4,16.1,20.1
"거주지역","대경권","구입 변화",약간 감소 (%),소스/양념류,8.0,14.2,20.9
"거주지역","대경권","구입 변화",약간 감소 (%),즉석 떡볶이/면류,8.2,15.5,23.8
"거주지역","대경권","구입 변화",비슷 (%),즉석 밥류,74.7,69.4,63.5
"거주지역","대경권","구입 변화",비슷 (%),즉석 국류/찌개/탕류,65.3,54.3,53.5
"거주지역","대경권","구입 변화",비슷 (%),죽/스프류,58.1,66.5,57.5
"거주지역","대경권","구입 변화",비슷 (%),만두/피자류,62.9,60.3,51.8
"거주지역","대경권","구입 변화",비슷 (%),육류,74.0,65.6,64.8
"거주지역","대경권","구입 변화",비슷 (%),수산물,70.6,67.4,56.8
"거주지역","대경권","구입 변화",비슷 (%),소스/양념류,82.1,74.8,55.5
"거주지역","대경권","구입 변화",비슷 (%),즉석 떡볶이/면류,74.0,67.5,50.4
"거주지역","대경권","구입 변화",약간 증가 (%),즉석 밥류,15.9,16.3,17.3
"거주지역","대경권","구입 변화",약간 증가 (%),즉석 국류/찌개/탕류,16.1,17.2,18.8
"거주지역","대경권","구입 변화",약간 증가 (%),죽/스프류,7.2,6.5,7.5
"거주지역","대경권","구입 변화",약간 증가 (%),만두/피자류,29.8,27.4,33.9
"거주지역","대경권","구입 변화",약간 증가 (%),육류,10.9,9.7,8.4
"거주지역","대경권","구입 변화",약간 증가 (%),수산물,3.5,9.1,10.5
"거주지역","대경권","구입 변화",약간 증가 (%),소스/양념류,4.7,6.4,8.9
"거주지역","대경권","구입 변화",약간 증가 (%),즉석 떡볶이/면류,12.8,13.3,18.7
"거주지역","대경권","구입 변화",매우 증가 (%),즉석 밥류,0.0,0.9,1.3
"거주지역","대경권","구입 변화",매우 증가 (%),즉석 국류/찌개/탕류,0.5,0.4,0.9
"거주지역","대경권","구입 변화",매우 증가 (%),죽/스프류,0.0,0.4,0.4
"거주지역","대경권","구입 변화",매우 증가 (%),만두/피자류,1.2,0.4,1.9
"거주지역","대경권","구입 변화",매우 증가 (%),육류,0.0,0.0,0.3
"거주지역","대경권","구입 변화",매우 증가 (%),수산물,0.4,0.0,0.4
"거주지역","대경권","구입 변화",매우 증가 (%),소스/양념류,0.0,0.0,0.7
"거주지역","대경권","구입 변화",매우 증가 (%),즉석 떡볶이/면류,0.0,0.0,0.3
"거주지역","대경권","구입 변화",평균 (점),즉석 밥류,3.03,3.01,2.97
"거주지역","대경권","구입 변화",평균 (점),즉석 국류/찌개/탕류,2.95,2.83,2.88
"거주지역","대경권","구입 변화",평균 (점),죽/스프류,2.59,2.76,2.63
